standardized_effect_d,effect_delivery_days,sample_size_per_group,total_sample_size,alpha_two_sided,planned_power,assumed_sd_days,minimum_practical_effect_days,meets_80_percent_power,practically_meaningful
0.6,2.4,190,380,0.05,0.999949,4.0,1.0,Yes,Yes
0.6,2.4,200,400,0.05,0.999973,4.0,1.0,Yes,Yes
0.8,3.2,10,20,0.05,0.432158,4.0,1.0,No,Yes
0.8,3.2,20,40,0.05,0.715617,4.0,1.0,No,Yes
0.8,3.2,30,60,0.05,0.872528,4.0,1.0,Yes,Yes
0.8,3.2,40,80,0.05,0.947141,4.0,1.0,Yes,Yes
0.8,3.2,50,100,0.05,0.979327,4.0,1.0,Yes,Yes
0.8,3.2,60,120,0.05,0.992278,4.0,1.0,Yes,Yes
0.8,3.2,70,140,0.05,0.997222,4.0,1.0,Yes,Yes
0.8,3.2,80,160,0.05,0.999031,4.0,1.0,Yes,Yes
0.8,3.2,90,180,0.05,0.999671,4.0,1.0,Yes,Yes
0.8,3.2,100,200,0.05,0.999891,4.0,1.0,Yes,Yes
0.8,3.2,110,220,0.05,0.999965,4.0,1.0,Yes,Yes
0.8,3.2,120,240,0.05,0.999989,4.0,1.0,Yes,Yes
0.8,3.2,130,260,0.05,0.999996,4.0,1.0,Yes,Yes
0.8,3.2,140,280,0.05,0.999999,4.0,1.0,Yes,Yes
0.8,3.2,150,300,0.05,1.0,4.0,1.0,Yes,Yes
0.8,3.2,160,320,0.05,1.0,4.0,1.0,Yes,Yes
0.8,3.2,170,340,0.05,1.0,4.0,1.0,Yes,Yes
0.8,3.2,180,360,0.05,1.0,4.0,1.0,Yes,Yes
0.8,3.2,190,380,0.05,1.0,4.0,1.0,Yes,Yes
0.8,3.2,200,400,0.05,1.0,4.0,1.0,Yes,Yes
